Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód části obce;Název části obce;Kód ulice;Název ulice;Typ SO;Číslo domovní;Číslo orientační;Znak čísla orientačního;PSČ;Souřadnice Y;Souřadnice X;Platí Od
17449588;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;512;;;50723;682329.35;1018429.24;2013-12-01T00:00:00
17449596;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;513;;;50723;682329.44;1018448.03;2013-12-01T00:00:00
17449600;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;514;;;50723;682331.84;1018465.23;2013-12-01T00:00:00
17449618;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;515;;;50723;682286.14;1018472.65;2013-12-01T00:00:00
17449626;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;516;;;50723;682266.49;1018476.08;2013-12-01T00:00:00
17449634;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;517;;;50723;682246.68;1018478.84;2013-12-01T00:00:00
17449642;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;518;;;50723;682228.31;1018480.40;2013-12-01T00:00:00
17449651;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;519;;;50723;682285.57;1018418.96;2013-12-01T00:00:00
17449669;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;520;;;50723;682278.21;1018420.01;2013-12-01T00:00:00
17449677;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;521;;;50723;682270.67;1018420.61;2013-12-01T00:00:00
17449685;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;522;;;50723;682264.22;1018421.71;2013-12-01T00:00:00
17449693;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;523;;;50723;682257.32;1018422.37;2013-12-01T00:00:00
17449707;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;524;;;50723;682248.76;1018423.14;2013-12-01T00:00:00
17449715;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;525;;;50723;682242.15;1018423.72;2013-12-01T00:00:00
17449723;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;526;;;50723;682234.79;1018424.54;2013-12-01T00:00:00
17449731;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;527;;;50723;682227.60;1018425.34;2013-12-01T00:00:00
17449740;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;528;;;50723;682220.21;1018425.54;2013-12-01T00:00:00
17449758;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;529;;;50723;682202.85;1019288.44;2014-01-30T00:00:00
17449774;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;531;;;50723;682330.66;1018378.30;2013-12-01T00:00:00
17449782;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;532;;;50723;682322.34;1018379.02;2013-12-01T00:00:00
17449791;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;533;;;50723;682314.32;1018379.62;2013-12-01T00:00:00
17449804;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;534;;;50723;682306.41;1018381.05;2013-12-01T00:00:00
17449812;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;535;;;50723;682299.03;1018381.55;2013-12-01T00:00:00
17449821;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;536;;;50723;682290.89;1018382.38;2013-12-01T00:00:00
17449839;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;537;;;50723;682283.42;1018383.19;2013-12-01T00:00:00
17449847;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;538;;;50723;682274.77;1018384.64;2013-12-01T00:00:00
17449855;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;539;;;50723;682266.58;1018385.22;2013-12-01T00:00:00
17449863;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;540;;;50723;682258.57;1018386.52;2013-12-01T00:00:00
17449871;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;541;;;50723;682250.80;1018387.08;2013-12-01T00:00:00
17449880;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;542;;;50723;682242.94;1018388.63;2013-12-01T00:00:00
17449898;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;543;;;50723;682348.20;1018375.54;2013-12-01T00:00:00
17449901;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;544;;;50723;682368.20;1018374.15;2013-12-01T00:00:00
17449910;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;545;;;50723;682332.51;1018484.69;2013-12-01T00:00:00
17449928;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;546;;;50723;682365.86;1018506.92;2013-12-01T00:00:00
17449936;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;548;;;50723;682272.56;1018536.06;2013-12-01T00:00:00
17449944;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;549;;;50723;682272.56;1018516.38;2013-12-01T00:00:00
17449952;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;550;;;50723;682319.65;1018568.50;2013-12-01T00:00:00
17449961;573108;Libáň;;;;;81671;Libáň;166031;Školní;č.p.;551;;;50723;682270.29;1018896.03;2013-12-01T00:00:00
17449979;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;552;;;50723;682241.94;1018539.69;2013-12-01T00:00:00
17449987;573108;Libáň;;;;;81671;Libáň;166090;Na Sídlišti;č.p.;553;;;50723;682239.88;1018524.56;2013-12-01T00:00:00
17449995;573108;Libáň;;;;;81671;Libáň;165981;Cukrovar;č.p.;554;;;50723;681826.52;1018674.51;2015-01-07T00:00:00
17450004;573108;Libáň;;;;;81671;Libáň;165981;Cukrovar;č.p.;555;;;50723;681840.38;1018654.09;2015-01-07T00:00:00
17450012;573108;Libáň;;;;;81671;Libáň;165981;Cukrovar;č.p.;556;;;50723;681846.35;1018644.77;2015-01-07T00:00:00
17450021;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;563;;;50723;682195.36;1019117.04;2013-12-01T00:00:00
17450039;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;564;;;50723;682193.26;1019125.49;2013-12-01T00:00:00
